Area,Year,Median Household Income,Median Household Income 2015 Adjusted
Arlington,1980,20598,67706
Arlington,1990,43309,83348
Arlington,2000,64344,92166
Arlington,2010,82771,92069
Arlington,2020,101972,101972
Belmont,1980,23134,76042
Belmont,1990,53488,102938
Belmont,2000,80295,115015
Belmont,2010,95197,105891
Belmont,2020,121208,121208
Cambridge,1980,14211,46712
Cambridge,1990,33140,63778
Cambridge,2000,47979,68725
Cambridge,2010,64865,72152
Cambridge,2020,80523,80523
Medford,1980,18266,60041
Medford,1990,38859,74784
Medford,2000,52476,75167
Medford,2010,70102,77977
Medford,2020,82951,82951
Somerville,1980,14001,46022
Somerville,1990,32455,62460
Somerville,2000,46315,66342
Somerville,2010,61731,68666
Somerville,2020,75583,75583
Winchester,1980,29246,96132.32711
Winchester,1990,65994,127005.453
Winchester,2000,94049,134715.8779
Winchester,2010,121572,135229.3494
Winchester,2020,160279,160279
Lexington,1980,31477,103465.6794
Lexington,1990,67389,129690.1305
Lexington,2000,96825,138692.223
Lexington,2010,130637,145312.7079
Lexington,2020,155740,155740
