Year,Municipality,Units Created
2002,Arlington,44
2003,Arlington,70
2004,Arlington,68
2005,Arlington,71
2006,Arlington,69
2007,Arlington,48
2008,Arlington,52
2009,Arlington,33
2010,Arlington,53
2011,Arlington,60
2012,Arlington,89
2002,Belmont,4
2003,Belmont,11
2004,Belmont,15
2005,Belmont,48
2006,Belmont,42
2007,Belmont,3
2008,Belmont,15
2009,Belmont,2
2010,Belmont,15
2011,Belmont,43
2012,Belmont,27
2002,Cambridge,45
2003,Cambridge,22
2004,Cambridge,81
2005,Cambridge,996
2006,Cambridge,54
2007,Cambridge,611
2008,Cambridge,36
2009,Cambridge,11
2010,Cambridge,38
2011,Cambridge,34
2012,Cambridge,392
2002,Lexington,72
2003,Lexington,61
2004,Lexington,65
2005,Lexington,65
2006,Lexington,55
2007,Lexington,91
2008,Lexington,60
2009,Lexington,52
2010,Lexington,83
2011,Lexington,61
2012,Lexington,97
2002,Medford,11
2003,Medford,24
2004,Medford,14
2005,Medford,16
2006,Medford,16
2007,Medford,13
2008,Medford,4
2009,Medford,0
2010,Medford,2
2011,Medford,2
2012,Medford,3
2002,Winchester,99
2003,Winchester,91
2004,Winchester,98
2005,Winchester,23
2006,Winchester,32
2007,Winchester,31
2008,Winchester,24
2009,Winchester,15
2010,Winchester,18
2011,Winchester,50
2012,Winchester,49
